READ SERR 1 2
@energy.pco
!
0.377734482 7.7148512E-2 2.46818328 0.115709111
0.532031476 7.71484822E-2 4.63392115 0.158199474
0.68632853 7.71485269E-2 5.41704035 0.171045467
0.840625048 7.71479905E-2 6.29201937 0.184343189
0.994921505 7.71484971E-2 5.96252728 0.179450974
1.14921999 7.71499872E-2 6.01641941 0.18042013
1.30351496 7.714504E-2 4.99059963 0.164178669
1.45781004 7.71499872E-2 4.07755518 0.148593858
1.61211002 7.71499872E-2 2.55994868 0.117582336
1.76640499 7.71449804E-2 2.21984625 0.109496944
1.92069995 7.71499872E-2 2.38712502 0.113543957
2.07499981 7.71499872E-2 1.45819855 8.87431353E-2
2.22930002 7.71499872E-2 1.65262508 9.47825238E-2
2.38359499 7.71450996E-2 1.55010927 9.15000588E-2
2.53788996 7.71499872E-2 1.50680518 9.02100652E-2
2.69219017 7.71499872E-2 1.36098528 8.57340172E-2
2.84648514 7.71449804E-2 1.28005731 8.34987611E-2
3.00078011 7.71499872E-2 1.19356251 8.02877024E-2
3.15507984 7.71499872E-2 1.14495587 7.86358938E-2
3.30937481 7.71449804E-2 1.05321181 7.54220635E-2
3.46366978 7.71499872E-2 0.907323539 7.00015277E-2
3.61796999 7.71501064E-2 0.939726532 7.12404847E-2
3.77226496 7.71449804E-2 0.820965052 6.65890574E-2
3.92655993 7.7149868E-2 0.653490007 5.94081804E-2
4.08086014 7.71501064E-2 0.680491626 6.06230125E-2
4.23515511 7.71450996E-2 0.783156276 6.50375858E-2
4.38945007 7.7149868E-2 0.545475125 5.48115633E-2
4.54760504 8.10050964E-2 0.457790136 4.85256575E-2
4.70576 7.7149868E-2 0.442860991 4.89058159E-2
4.86777496 8.48650932E-2 0.343682736 4.10779417E-2
5.03750038 8.48600864E-2 0.206221804 3.18207145E-2
5.2226553 0.100294828 0.199412078 2.87826546E-2
5.40781498 8.48650932E-2 0.235668153 3.40157673E-2
5.60454512 0.111865044 0.137814865 2.26566251E-2
5.84755993 0.131150007 0.101664752 1.7971959E-2
6.09443474 0.115724802 0.108014874 1.97207276E-2
6.32202482 0.111865044 0.115466513 2.07383987E-2
6.58818483 0.154294968 6.48109242E-2 1.32294754E-2
6.93534994 0.19287014 4.96880077E-2 1.03606666E-2
7.46767521 0.339454889 2.8231537E-2 5.88668231E-3
7.87656498 6.94351196E-2 1.80024169E-2 1.03937006E-2
