,Time,Counts_s
0,50,0
1,150,0
2,250,0
3,350,0
4,450,38.1
5,550,136.72
6,650,134.23
7,750,134.89
8,850,134.48
9,950,134.89
10,1050,133.59
11,1150,135.59
12,1250,132.45
13,1350,43.93
14,1450,0
15,1550,0
16,1650,0
17,1750,0.59
18,4370,89.06
19,4470,90
20,4570,90.1
21,4670,90.52
22,4770,91.99
23,4870,90.99
24,4970,88.84
25,5070,89.35
26,5170,90.37
27,5270,91.61
28,5370,89.56
29,5470,87.5
30,5810,97.08
31,5910,93.95
32,6010,95.4
33,6110,95.75
34,6210,95.94
35,6310,95.91
36,6410,94.71
37,6510,94.78
38,6610,94.52
39,6710,93.8
40,6810,93.72
41,6910,94.25
42,7010,92.15
43,7110,92.56
44,7210,0
45,7310,0
46,7410,0
47,7510,0
48,15950,70.97
49,16050,70.5
50,16150,71.98
51,16250,69.14
52,16350,70.77
53,16450,71.42
54,16550,70.84
55,16650,71.08
56,16750,70.15
57,16850,69.02
58,16950,72.07
59,17050,71.76
60,17390,87.08
61,17490,83.54
62,17590,82.66
63,17690,83.74
64,17790,81.21
65,17890,82.09
66,17990,82.28
67,18090,84.16
68,18190,83.79
69,18290,82.32
70,18390,83.57
71,18490,83.45
72,18590,82.78
73,18690,82.54
74,18790,82.06
75,18890,83.39
76,18990,83.84
77,19090,77.32
78,20893,85.81
79,20993,87.15
80,21093,84.06
81,21193,85.25
82,21293,86.12
83,21393,15.18
84,21770,86.47
85,21870,88.86
86,21970,86.16
87,22070,87.16
88,22170,85.66
89,22270,86.64
90,22370,86.58
91,22470,84.17
92,22570,87.67
93,22670,85.44
94,22770,86.39
95,22870,87.25
96,23210,91.03
97,23310,88.21
98,23410,88.41
99,23510,86.12
100,23610,90.02
101,23710,90.79
102,23810,88.35
103,23910,87.82
104,24010,87.28
105,24110,88.11
106,24210,88.05
107,24310,85.41
108,24410,87.29
109,24510,87.79
110,24610,87.96
111,24710,87.99
112,24810,88.47
113,24910,35.55
114,26832,46.89
115,26932,46.65
116,27032,46.42
117,27132,17.7
118,27530,83.75
119,27630,84.75
120,27730,86.18
121,27830,82.73
122,27930,84.83
123,28030,84.03
124,28130,82.74
125,28230,83.6
126,28330,83.07
127,28430,82.81
128,28530,83.01
129,28630,83.8
130,28970,49.64
131,29070,48.76
132,29170,49.03
133,29270,48.98
134,29370,48.75
135,29470,48.17
136,29570,48.13
137,29670,47.58
138,29770,48.44
139,29870,49.65
140,29970,50.47
141,30070,48.67
142,30170,48.75
143,30270,48.95
144,30370,48.55
145,30470,48.23
146,30570,49.08
147,30670,49.35
148,31250,48.89
149,31350,47.84
150,31450,48.46
151,31550,17.78
152,31650,0
153,31750,0
154,31850,0
155,31950,0
156,32050,0
157,32150,0
158,32250,0
159,32350,0
160,32450,0
161,32550,0
162,32650,0
163,32750,9.01
164,32850,48.22
165,32950,20.79
166,34790,71.1
167,34890,67.86
168,34990,70.03
169,35090,68.23
170,35190,67.87
171,35290,68.54
172,35390,70.48
173,35490,69.57
174,35590,68.63
175,35690,68.43
176,35790,68.55
177,35890,69.58
178,35990,69.7
179,36090,66.76
180,36190,68.01
181,36290,68.02
182,36390,68.09
183,36490,28.1
184,39110,62.54
185,39210,63.97
186,39310,61.79
187,39410,61.6
188,39510,61.14
189,39610,62.06
190,39710,61.15
191,39810,61.24
192,39910,61.42
193,40010,61.24
194,40110,61.1
195,40210,61.02
196,40550,70.83
197,40650,70.81
198,40750,71.08
199,40850,68.11
200,40950,70.59
201,41050,71.28
202,41150,70.01
203,41250,69.27
204,41350,70.22
205,41450,71.11
206,41550,70.03
207,41650,71.5
208,41750,68.96
209,41850,69.54
210,41950,69.13
211,42050,70.21
212,42150,69.09
213,42250,68.68
214,50750,61.1
215,50850,61.14
216,50950,60.68
217,51050,61.55
218,51150,60.31
219,51250,58.86
220,51350,60.36
221,51450,58.19
222,51550,59.36
223,51650,58.46
224,51750,57.52
225,51850,59.42
226,52190,53.41
227,52290,54.28
