READ SERR 1 2
@spec.pco
!
0.308300972 7.7150017E-3 1.69222975 0.252034217
0.319872975 3.85700166E-3 2.37663031 0.413718224
0.327587485 3.8575083E-3 2.37631798 0.413663864
0.335302502 3.8574934E-3 2.8083868 0.449701786
0.343017519 3.8575083E-3 3.09641457 0.483055353
0.350732505 3.8574934E-3 3.24044633 0.483057201
0.358447492 3.8574934E-3 3.24044633 0.483057201
0.366162479 3.8575083E-3 3.52847219 0.504067481
0.373876989 3.85700166E-3 3.88903117 0.529230118
0.381591499 3.8574934E-3 4.82466459 0.598159313
0.389306486 3.8575083E-3 4.53660727 0.571558774
0.397021502 3.8574934E-3 3.60049582 0.509186983
0.404736519 3.8575083E-3 4.60861683 0.576077104
0.412451506 3.8574934E-3 4.75265455 0.585011303
0.420166016 3.85700166E-3 6.19364214 0.675599039
0.427880496 3.8574934E-3 4.75265455 0.593809009
0.435595512 3.8575083E-3 5.25670338 0.615250647
0.443310499 3.8574934E-3 4.32059479 0.557786405
0.451025486 3.8575083E-3 5.54474211 0.631882012
0.458740503 3.8574934E-3 5.32873392 0.619452715
0.466455519 3.8575083E-3 5.25670338 0.623621762
0.474169999 3.85698676E-3 6.19366646 0.667880237
0.48188448 3.8575083E-3 5.47273254 0.627765477
0.489599496 3.8574934E-3 5.61677361 0.635974348
0.497314513 3.8575083E-3 5.97679996 0.656039
0.5050295 3.8574934E-3 4.60863447 0.576079309
0.512744486 3.8574934E-3 4.82466459 0.589426577
0.520458996 3.85701656E-3 4.03305387 0.548478961
0.528173506 3.8574934E-3 4.10456514 0.543662965
0.535888493 3.8574934E-3 4.39260483 0.562415421
0.54360348 3.8574934E-3 3.74451566 0.519270897
0.551318526 3.8575232E-3 3.67247748 0.514249682
0.559033513 3.8574934E-3 3.24044633 0.483057201
0.566748023 3.85698676E-3 4.17712355 0.548483253
0.574462533 3.8575232E-3 3.31243062 0.48839125
0.58217752 3.8574934E-3 2.8803966 0.455430686
0.589892507 3.8574934E-3 2.52034712 0.42601642
0.597607493 3.8574934E-3 2.59235692 0.432059497
0.60532248 3.8574934E-3 3.24044633 0.483057201
0.613037467 3.8575232E-3 2.30429959 0.407346457
0.62460947 7.71448016E-3 2.01641011 0.274223596
0.636181474 3.8575232E-3 2.08827138 0.387782276
0.64389652 3.8574934E-3 1.87225783 0.36717996
0.651611507 3.8574934E-3 2.30431724 0.419886351
0.66318351 7.71450996E-3 1.7283448 0.249465093
0.678613007 7.7149868E-3 1.4401983 0.238829881
0.697900534 1.157251E-2 0.840113521 0.146006033
0.721045017 1.15720034E-2 0.792141736 0.142011315
0.744189501 1.15724802E-2 0.840115666 0.1499006
0.771191478 1.54294968E-2 0.558094084 0.106507391
0.805907965 1.928702E-2 0.36005792 8.01887065E-2
0.844482541 1.92874968E-2 0.316843152 7.05549121E-2
0.883056998 1.92869902E-2 0.144023389 5.76093569E-2
0.929345965 2.70020068E-2 8.22984129E-2 3.25313024E-2
0.983348966 2.70009935E-2 8.23014975E-2 3.25325243E-2
1.04120994 3.08600068E-2 4.50061113E-2 2.70036664E-2
1.10678506 3.47149968E-2 1.56157607E-18 2.53034867E-2
1.17235994 3.08600068E-2 -9.00122244E-3 3.24543677E-2
1.35365999 0.150439978 7.20687519E-19 6.39624149E-3
1.63139498 0.127295017 0 6.90058805E-3
1.86283994 0.104149997 -8.00128002E-3 9.61634237E-3
2.02484989 5.78600168E-2 -1.44025767E-2 1.73097439E-2
2.15600491 7.32949972E-2 -7.57972011E-3 1.41803576E-2
2.29101515 6.17150068E-2 -9.0019526E-3 1.55918393E-2
2.41059494 5.78650236E-2 -9.60088708E-3 2.14682352E-2
2.51089001 4.2429924E-2 6.54674228E-3 1.96402278E-2
2.58031988 2.70000696E-2 3.08641177E-2 3.08641177E-2
2.68833017 8.1009984E-2 -1.02867978E-2 1.23631926E-2
2.83105516 6.17150068E-2 0 1.55918393E-2
2.95063496 5.78650236E-2 -4.80044354E-3 1.59212705E-2
3.05478501 4.6284914E-2 2.40059029E-2 2.07897201E-2
3.22064996 0.11958003 -1.16147222E-2 1.01254806E-2
3.44438505 0.104155064 -8.00089166E-3 1.03291059E-2
3.63339996 8.48599672E-2 6.54673297E-3 1.03512937E-2
3.77612019 5.78600168E-2 2.88051534E-2 1.35788796E-2
3.89569998 6.17200136E-2 4.50061122E-3 1.35018332E-2
3.99214029 3.47200632E-2 4.00024876E-2 2.40014922E-2
4.08086014 5.39999008E-2 1.54321268E-2 1.36098573E-2
4.22358036 8.87200832E-2 0 1.08459145E-2
4.36630535 5.40049076E-2 1.02871312E-2 1.45482002E-2
4.47431469 5.40049076E-2 1.02871312E-2 1.6265383E-2
4.62090015 9.258008E-2 6.00081077E-3 8.4864283E-3
4.76362514 5.01449108E-2 2.21580043E-2 1.751744E-2
4.92563486 0.111865044 -9.93260369E-3 9.29109938E-3
5.1802249 0.142724991 -7.78497942E-3 7.28218118E-3
5.38080978 5.7860136E-2 0 1.51816178E-2
5.56982517 0.131155014 8.47173948E-3 6.69749826E-3
5.8282752 0.127295017 0 6.90058805E-3
6.20629978 0.250729799 -8.86301603E-3 4.70032403E-3
6.59589958 0.138870001 2.00027204E-3 6.00081589E-3
6.81577492 8.10050964E-2 6.858279E-3 9.69907083E-3
6.98550034 8.87200832E-2 6.26189169E-3 9.90092009E-3
7.25551987 0.181299925 -1.53214508E-3 5.08155022E-3
7.56797028 0.131150007 2.11801566E-3 6.35404699E-3
7.80712986 0.108010054 -2.57177697E-3 7.71533139E-3
